,cluster,site,treatment,point,AVG.HT,richness,prop_canopy_layer,prop_grass_layer,prop_ground_layer,prop_duff,prop_bare,prop_woodyshrub,prop_softshrub,prop_forbe,prop_grass,prop_nonplant,prop_iceplant,prop_Artemisia_californica,prop_Baccharis_pilularis,prop_Carpobrotus_edulis,prop_Ehrharta_calycina,prop_Ericameria_ericoides,prop_Salvia_mellifera,prop_Acmispon_glaber
35,3,3A,C,PR2,39.94059406,8,0.225490196,0.754901961,0.019607843,0,0.009803922,0.225490196,0,0,0.754901961,0,0,0,0.088235294,0,0.607843137,0.039215686,0,0
36,3,3B,P,PL1,48.96039604,6,0.411764706,0.421568627,0.166666667,0,0,0.431372549,0,0,0.558823529,0,0,0.009803922,0.147058824,0,0.441176471,0,0,0
37,3,3B,P,PL2,59.42574257,7,0.431372549,0.509803922,0.058823529,0,0,0.431372549,0,0,0.558823529,0,0,0.009803922,0.156862745,0,0.509803922,0.009803922,0,0
38,3,3B,P,PM1,76.33663366,6,0.421568627,0.558823529,0.019607843,0.009803922,0,0.421568627,0,0,0.558823529,0.009803922,0,0,0.274509804,0,0.558823529,0.029411765,0,0
39,3,3B,P,PR1,45.12871287,8,0.392156863,0.245098039,0.362745098,0.049019608,0,0.411764706,0,0,0.529411765,0.049019608,0,0.019607843,0.156862745,0,0.470588235,0,0,0
40,3,3B,P,PR2,61.74257426,8,0.676470588,0.078431373,0.245098039,0.019607843,0,0.696078431,0,0,0.274509804,0.019607843,0,0.009803922,0.225490196,0,0.029411765,0,0,0
41,3,3C,S,PL1,70.53465347,9,0.323529412,0.656862745,0.019607843,0,0,0.31372549,0.009803922,0,0.666666667,0,0,0.009803922,0.088235294,0,0.656862745,0.049019608,0,0.009803922
42,3,3C,S,PL2,75.03960396,6,0.352941176,0.637254902,0.009803922,0,0,0.352941176,0,0,0.637254902,0,0,0.039215686,0.245098039,0,0.637254902,0.009803922,0,0
43,3,3C,S,PM1,69.62376238,8,0.31372549,0.656862745,0.029411765,0.009803922,0,0.31372549,0,0,0.666666667,0.009803922,0,0,0.078431373,0,0.656862745,0.088235294,0,0
44,3,3C,S,PR1,73.71287129,9,0.441176471,0.509803922,0.049019608,0,0.019607843,0.441176471,0,0,0.529411765,0,0,0.068627451,0.049019608,0,0.509803922,0.058823529,0,0
45,3,3C,S,PR2,66.6039604,5,0.215686275,0.774509804,0.009803922,0,0,0.215686275,0,0,0.774509804,0,0,0.009803922,0.049019608,0,0.774509804,0,0,0
46,4,4A,S,PL1,71.10891089,14,0.68627451,0.176470588,0.137254902,0.049019608,0.009803922,0.68627451,0.009803922,0.019607843,0.215686275,0.049019608,0,0.058823529,0.254901961,0,0.147058824,0.009803922,0,0
47,4,4A,S,PL2,59.55445545,14,0.558823529,0.31372549,0.12745098,0.049019608,0.009803922,0.460784314,0.117647059,0,0.343137255,0.058823529,0,0.058823529,0.107843137,0,0.147058824,0.029411765,0.078431373,0.117647059
48,4,4A,S,PM1,74.15841584,16,0.558823529,0.225490196,0.215686275,0.049019608,0.098039216,0.558823529,0.019607843,0.029411765,0.235294118,0.049019608,0,0.058823529,0.196078431,0,0.215686275,0.009803922,0.029411765,0.019607843
49,4,4A,S,PR1,65.04950495,9,0.529411765,0.333333333,0.137254902,0.029411765,0.029411765,0.539215686,0,0,0.392156863,0.029411765,0,0.029411765,0.137254902,0,0.31372549,0,0,0
50,4,4A,S,PR2,70.14851485,11,0.450980392,0.5,0.049019608,0,0,0.441176471,0.009803922,0.039215686,0.5,0,0,0.039215686,0.156862745,0,0.5,0.009803922,0,0.009803922
51,4,4B,C,PL1,72.35643564,15,0.62745098,0.225490196,0.147058824,0.049019608,0.009803922,0.568627451,0.068627451,0,0.274509804,0.058823529,0,0.088235294,0.078431373,0,0.205882353,0.009803922,0.088235294,0
52,4,4B,C,PL2,81.28712871,15,0.735294118,0.147058824,0.117647059,0.058823529,0.009803922,0.735294118,0.009803922,0.009803922,0.156862745,0.058823529,0,0.117647059,0.088235294,0,0.117647059,0.049019608,0.098039216,0.009803922
53,4,4B,C,PM1,74.17821782,6,0.421568627,0.568627451,0.009803922,0,0,0.421568627,0,0,0.568627451,0,0,0.078431373,0.029411765,0,0.568627451,0.049019608,0,0
54,4,4B,C,PR1,47.11881188,12,0.352941176,0.490196078,0.156862745,0.009803922,0,0.284313725,0.029411765,0.039215686,0.62745098,0.009803922,0,0.12745098,0.029411765,0,0.509803922,0,0,0.029411765
55,4,4B,C,PR2,59.74257426,9,0.598039216,0.225490196,0.176470588,0.029411765,0,0.62745098,0,0,0.333333333,0.029411765,0,0.029411765,0.049019608,0,0.156862745,0.029411765,0.009803922,0
56,4,4C,P,PL1,73.85148515,13,0.401960784,0.450980392,0.147058824,0.049019608,0.029411765,0.392156863,0.009803922,0.019607843,0.490196078,0.049019608,0.019607843,0.009803922,0.009803922,0.019607843,0.470588235,0,0.18627451,0.009803922
57,4,4C,P,PL2,55.32673267,11,0.392156863,0.509803922,0.098039216,0.009803922,0,0.392156863,0,0.009803922,0.578431373,0.009803922,0,0.009803922,0.019607843,0,0.401960784,0,0.225490196,0
58,4,4C,P,PM1,87.98019802,9,0.598039216,0.392156863,0.009803922,0,0,0.568627451,0.029411765,0,0.392156863,0,0,0.068627451,0.049019608,0,0.392156863,0.019607843,0.274509804,0.029411765
59,4,4C,P,PR1,37.98019802,12,0.196078431,0.549019608,0.254901961,0.039215686,0.009803922,0.196078431,0,0.068627451,0.666666667,0.049019608,0.068627451,0.049019608,0.058823529,0.068627451,0.588235294,0,0,0
60,4,4C,P,PR2,75.62376238,13,0.401960784,0.578431373,0.019607843,0,0,0.37254902,0.009803922,0.009803922,0.588235294,0,0,0.107843137,0.039215686,0,0.568627451,0.049019608,0,0
61,5,5A,C,PL1,79.57425743,12,0.735294118,0.215686275,0.049019608,0,0.039215686,0.725490196,0.009803922,0,0.215686275,0.009803922,0,0.019607843,0,0,0.215686275,0.058823529,0.205882353,0.009803922
62,5,5A,C,PL2,23.34653465,14,0.362745098,0.147058824,0.490196078,0.049019608,0.176470588,0.519607843,0,0.088235294,0.147058824,0.107843137,0.088235294,0,0,0.088235294,0.147058824,0,0.049019608,0
63,5,5A,C,PM1,57.93069307,13,0.725490196,0.019607843,0.254901961,0.098039216,0.117647059,0.745098039,0,0,0.019607843,0.12745098,0,0.019607843,0,0,0.019607843,0.029411765,0.558823529,0
64,5,5A,C,PR1,59.2970297,10,0.62745098,0.215686275,0.156862745,0.009803922,0.088235294,0.647058824,0,0.029411765,0.215686275,0.009803922,0.029411765,0.009803922,0,0.029411765,0.215686275,0.068627451,0.490196078,0
65,5,5A,C,PR2,52.8019802,13,0.715686275,0.009803922,0.274509804,0.078431373,0.039215686,0.735294118,0,0.12745098,0.009803922,0.088235294,0.117647059,0,0,0.117647059,0.009803922,0.009803922,0.37254902,0
66,5,5B,P,PL1,37.16831683,11,0.12745098,0.647058824,0.225490196,0.019607843,0,0.117647059,0.009803922,0.039215686,0.803921569,0.019607843,0.039215686,0,0.039215686,0.039215686,0.735294118,0.019607843,0.019607843,0.009803922
67,5,5B,P,PL2,28.20792079,10,0.098039216,0.490196078,0.411764706,0.009803922,0.009803922,0.098039216,0,0.009803922,0.852941176,0.019607843,0,0,0.009803922,0,0.421568627,0,0,0
68,5,5B,P,PM1,35.94059406,10,0.098039216,0.588235294,0.31372549,0.029411765,0.009803922,0.088235294,0,0.18627451,0.676470588,0.029411765,0.18627451,0.039215686,0.039215686,0.18627451,0.578431373,0,0,0
69,5,5B,P,PR1,46.77227723,14,0.235294118,0.568627451,0.196078431,0.009803922,0.029411765,0.235294118,0.019607843,0.078431373,0.617647059,0.009803922,0.078431373,0.029411765,0.058823529,0.078431373,0.5,0.009803922,0.068627451,0.009803922
70,5,5B,P,PR2,55.87128713,13,0.225490196,0.676470588,0.098039216,0,0.009803922,0.196078431,0.039215686,0.068627451,0.676470588,0,0.068627451,0.049019608,0.049019608,0.068627451,0.62745098,0.009803922,0.019607843,0.029411765
71,5,5C,S,PL1,46.5049505,13,0.401960784,0.245098039,0.352941176,0.068627451,0.107843137,0.401960784,0,0.029411765,0.382352941,0.068627451,0,0,0,0,0.205882353,0.039215686,0.284313725,0
72,5,5C,S,PL2,25.22772277,12,0.147058824,0.558823529,0.294117647,0.049019608,0.078431373,0.156862745,0,0.029411765,0.676470588,0.049019608,0,0.009803922,0,0,0.519607843,0.078431373,0,0
73,5,5C,S,PM1,61.63366337,15,0.480392157,0.323529412,0.196078431,0.019607843,0.029411765,0.460784314,0.019607843,0.078431373,0.362745098,0.019607843,0,0.107843137,0.049019608,0,0.31372549,0.18627451,0.039215686,0.019607843
74,5,5C,S,PR1,35.96,23,0.450980392,0.137254902,0.411764706,0.049019608,0.009803922,0.460784314,0.019607843,0.166666667,0.225490196,0.078431373,0,0.009803922,0.029411765,0,0.039215686,0.156862745,0.009803922,0.009803922
75,5,5C,S,PR2,69.81188119,15,0.549019608,0.323529412,0.12745098,0.009803922,0.049019608,0.539215686,0,0.029411765,0.362745098,0.009803922,0,0.049019608,0.058823529,0,0.225490196,0.058823529,0.107843137,0
76,NBOS,NBOS1,O,PL1,35.75247525,12,0.568627451,0,0.431372549,0.078431373,0.107843137,0.598039216,0.039215686,0.166666667,0,0.098039216,0.156862745,0.245098039,0,0.156862745,0,0.166666667,0,0.019607843
77,NBOS,NBOS1,O,PL2,64.45544554,11,0.852941176,0,0.147058824,0.088235294,0.019607843,0.862745098,0.019607843,0,0,0.088235294,0,0.352941176,0.098039216,0,0,0.137254902,0.029411765,0
78,NBOS,NBOS1,O,PM1,65.88118812,10,0.823529412,0,0.176470588,0.078431373,0.039215686,0.843137255,0,0.029411765,0,0.088235294,0.029411765,0.421568627,0.019607843,0.029411765,0,0.294117647,0,0
79,NBOS,NBOS1,O,PR1,32.17821782,10,0.549019608,0,0.450980392,0.12745098,0.058823529,0.568627451,0,0.235294118,0,0.137254902,0.235294118,0.098039216,0.039215686,0.235294118,0,0.392156863,0.009803922,0
80,NBOS,NBOS1,O,PR2,56.66336634,11,0.794117647,0,0.205882353,0.117647059,0.029411765,0.774509804,0.068627451,0,0,0.12745098,0,0.225490196,0.107843137,0,0,0.18627451,0,0.019607843
81,NBOS,NBOS2,O,PL1,25.08910891,10,0.450980392,0.009803922,0.539215686,0.098039216,0.049019608,0.470588235,0.029411765,0.333333333,0.009803922,0.098039216,0.333333333,0.029411765,0,0.333333333,0.009803922,0.215686275,0,0.029411765
82,NBOS,NBOS2,O,PL2,22.38613861,17,0.37254902,0.009803922,0.617647059,0.117647059,0.235294118,0.333333333,0.058823529,0.196078431,0.019607843,0.117647059,0.058823529,0.029411765,0,0.049019608,0.009803922,0.147058824,0.009803922,0.019607843
83,NBOS,NBOS2,O,PM1,15.58415842,12,0.088235294,0.166666667,0.745098039,0.078431373,0.156862745,0.098039216,0,0.352941176,0.294117647,0.088235294,0.343137255,0,0,0.343137255,0.284313725,0.039215686,0.049019608,0
84,NBOS,NBOS2,O,PR1,9.247524752,11,0.039215686,0.019607843,0.941176471,0.323529412,0.039215686,0.078431373,0.009803922,0.519607843,0.019607843,0.323529412,0.509803922,0.019607843,0,0.509803922,0,0.019607843,0,0
85,NBOS,NBOS2,O,PR2,25.64356436,17,0.352941176,0.039215686,0.607843137,0.078431373,0.098039216,0.323529412,0.078431373,0.352941176,0.039215686,0.078431373,0.264705882,0.049019608,0,0.254901961,0.039215686,0.068627451,0.088235294,0.039215686
86,SBOS,SBOS1,O,PL1,26.08333333,13,0.264705882,0.480392157,0.254901961,0.029411765,0.058823529,0.274509804,0.009803922,0,0.568627451,0.068627451,0,0.107843137,0.029411765,0,0.411764706,0.049019608,0,0.009803922
87,SBOS,SBOS1,O,PL2,65.05,12,0.745098039,0.196078431,0.058823529,0,0.019607843,0.294117647,0.088235294,0.382352941,0.196078431,0,0,0.176470588,0.039215686,0,0.039215686,0.009803922,0,0
88,SBOS,SBOS1,O,PM1,48.44117647,9,0.196078431,0.205882353,0.598039216,0.039215686,0.049019608,0.196078431,0,0,0.215686275,0.058823529,0,0.068627451,0,0,0.196078431,0.12745098,0,0
89,SBOS,SBOS1,O,PR1,22.375,16,0.284313725,0.147058824,0.568627451,0.12745098,0.068627451,0.323529412,0.078431373,0.18627451,0.156862745,0.12745098,0.107843137,0.156862745,0,0,0.039215686,0.009803922,0,0
90,SBOS,SBOS1,O,PR2,28.69306931,11,0.098039216,0.617647059,0.284313725,0,0.049019608,0.078431373,0,0.029411765,0.833333333,0.029411765,0,0.058823529,0,0,0.019607843,0,0,0
91,SBOS,SBOS2,O,PL1,12.73267327,22,0.156862745,0.078431373,0.764705882,0.147058824,0.088235294,0.18627451,0.068627451,0.392156863,0.107843137,0.147058824,0.235294118,0.049019608,0,0.225490196,0.078431373,0.029411765,0,0
92,SBOS,SBOS2,O,PL2,54.36633663,13,0.745098039,0.078431373,0.176470588,0.049019608,0.039215686,0.725490196,0,0.078431373,0.078431373,0.088235294,0,0.450980392,0.107843137,0,0.078431373,0,0,0
93,SBOS,SBOS2,O,PM1,42.07920792,10,0.450980392,0.284313725,0.264705882,0.029411765,0.019607843,0.480392157,0,0.009803922,0.450980392,0.039215686,0.009803922,0.352941176,0,0,0.37254902,0.019607843,0,0
94,SBOS,SBOS2,O,PR1,13.85148515,18,0.078431373,0.039215686,0.882352941,0.12745098,0.088235294,0.107843137,0.137254902,0.382352941,0.147058824,0.12745098,0.352941176,0.029411765,0,0.31372549,0,0,0,0
95,SBOS,SBOS2,O,PR2,41.10891089,13,0.68627451,0.049019608,0.264705882,0.039215686,0.049019608,0.764705882,0,0.068627451,0.049019608,0.078431373,0,0.362745098,0.166666667,0,0.039215686,0,0,0
